#{"t_start": 1789001687.9922652, "env_id": "None"}
r,l,t
1.25,5,3.104467
-0.25,2,3.10953
-0.25,2,3.114446
-1.25,3,3.12233
0.75,1,3.124984
0.25,3,3.132086
-0.25,2,3.137068
-0.75,1,3.139738
-0.75,1,3.142803
-0.75,1,3.145408
-0.75,1,3.148191
-0.25,2,3.153054
0.25,3,3.161284
-0.25,2,3.166889
-0.75,1,3.17022
-0.25,2,3.176303
2.25,4,3.188808
-0.75,1,3.192351
-0.75,1,3.195498
-0.25,2,3.20165
0.25,3,3.211642
-0.75,1,3.214805
0.25,3,3.224253
-0.75,1,3.227684
-2.75,6,3.245096
1.75,6,3.262542
0.75,1,3.265762
0.25,3,3.275347
2.25,7,3.295241
-0.25,2,3.301292
0.75,1,3.304767
-0.75,1,3.308116
0.25,3,3.317522
-0.25,2,3.323436
0.75,3,3.330825
0.75,1,3.333689
-0.75,1,3.337292
-0.75,1,3.340311
1.75,6,3.356603
-0.75,1,3.359436
-0.75,1,3.362088
0.25,3,3.370319
-0.75,1,3.373107
0.75,1,3.37561
1.25,3,3.382858
-1.25,1,3.385341
-0.25,2,3.390789
0.75,4,3.400323
-0.75,1,3.403285
-0.75,1,3.406336
-0.25,2,3.411484
-0.25,2,3.416483
-0.25,2,3.421704
0.75,4,3.431901
0.75,4,3.441748
-0.25,2,3.447408
-0.75,1,3.450278
-0.75,1,3.453199
-0.25,2,3.459169
5.75,14,3.49426
-0.75,1,3.497257
0.75,1,3.499944
-0.75,1,3.502663
1.25,5,3.514172
0.75,1,3.516733
-0.75,1,3.519405
-0.75,1,3.52207
-0.75,1,3.524753
0.25,3,3.531663
-0.25,2,3.536168
0.75,1,3.538576
-0.25,2,3.543201
-0.25,2,3.54808
-1.25,1,3.550733
-0.25,2,3.556424
0.75,4,3.565791
-0.75,1,3.568563
-0.25,2,3.57342
0.25,3,3.580398
-0.75,1,3.583096
-0.25,2,3.588026
-0.75,1,3.590817
-0.25,2,3.596005
0.75,1,3.598661
0.75,1,3.601182
-0.25,2,3.60595
-0.75,1,3.608581
-0.25,2,3.613269
-0.25,2,3.617832
0.75,1,3.620342
-0.75,1,3.622832
-0.75,1,3.6254
-0.75,1,3.62807
0.75,1,3.630523
-0.25,2,3.635108
0.75,1,3.637558
-0.25,2,3.64208
-0.25,2,3.646947
-0.75,1,3.649462
-0.75,1,3.651826
0.75,1,3.654207
-0.75,1,3.656845
-0.25,2,3.661566
-0.75,1,3.664222
0.75,1,3.667178
-0.25,2,3.672236
-0.25,2,3.676959
0.75,1,3.67942
-3.75,4,3.688458
-0.25,2,3.693229
0.25,3,3.70126
0.75,1,3.704022
0.75,1,3.706997
-0.25,2,3.711777
0.25,3,3.718542
-0.25,2,3.723135
-0.75,1,3.72548
-0.25,2,3.730014
-0.75,1,3.732401
-0.25,2,3.73655
-0.75,1,3.738729
0.25,6,3.750656
0.75,1,3.752809
-0.25,2,3.756986
0.75,4,3.765382
-0.75,1,3.767638
-0.75,1,3.77008
0.75,1,3.772865
-2.25,4,3.781974
-0.25,2,3.787665
-0.75,1,3.790382
-0.25,2,3.795457
-0.25,2,3.800553
0.75,1,3.803227
0.75,1,3.805765
-0.25,2,3.810561
-0.75,1,3.813058
-0.25,2,3.817962
-0.75,1,3.820714
-2.25,4,3.830472
-0.75,1,3.832886
-0.25,2,3.838066
-0.25,2,3.843091
0.25,3,3.850057
-0.25,2,3.854751
-0.75,1,3.857816
1.75,6,3.873441
-0.25,2,3.8787
-0.25,2,3.884762
-0.75,1,3.88742
-0.75,1,3.890042
-0.25,2,3.895069
-0.75,1,3.898055
0.75,4,3.908527
-0.75,1,3.911307
-1.25,3,3.919522
-0.25,2,3.924246
0.75,1,3.927134
-0.75,1,3.929618
-0.75,1,3.932112
-1.25,1,3.935116
-0.25,2,3.940477
0.25,3,3.947554
0.75,4,3.957681
-0.75,1,3.960379
